event_type,module,timestamp,label,features.process_name,features.parent_process,features.pid,features.cpu,features.uptime,features.duration,features.filename,features.hash,features.registry_key,features.ip,features.domain,features.asn,features.country,features.score,features.timestamp
Suspicious Scheduled Task,logic_bomb,2025-07-19T14:22:07Z,,,,,,,,,,,,,,,,2025-07-19T14:22:07Z
Suspicious Scheduled Task,logic_bomb,2025-07-19T14:22:09Z,,,,,,,,,,,,,,,,2025-07-19T14:22:09Z
Suspicious Scheduled Task,logic_bomb,2025-07-19T14:22:11Z,,,,,,,,,,,,,,,,2025-07-19T14:22:11Z
Suspicious Scheduled Task,logic_bomb,2025-07-19T14:22:13Z,,,,,,,,,,,,,,,,2025-07-19T14:22:13Z
Suspicious Scheduled Task,logic_bomb,2025-07-19T14:22:15Z,,,,,,,,,,,,,,,,2025-07-19T14:22:15Z
Suspicious Scheduled Task,logic_bomb,2025-07-19T14:22:17Z,,,,,,,,,,,,,,,,2025-07-19T14:22:17Z
Suspicious Scheduled Task,logic_bomb,2025-07-19T14:24:30Z,,,,,,,,,,,,,,,,2025-07-19T14:24:30Z
Suspicious Scheduled Task,logic_bomb,2025-07-19T14:24:32Z,,,,,,,,,,,,,,,,2025-07-19T14:24:32Z
Suspicious Scheduled Task,logic_bomb,2025-07-19T14:24:34Z,,,,,,,,,,,,,,,,2025-07-19T14:24:34Z
Suspicious Scheduled Task,logic_bomb,2025-07-19T14:24:36Z,,,,,,,,,,,,,,,,2025-07-19T14:24:36Z
Suspicious Scheduled Task,logic_bomb,2025-07-19T14:24:38Z,,,,,,,,,,,,,,,,2025-07-19T14:24:38Z
Suspicious Scheduled Task,logic_bomb,2025-07-19T14:26:05Z,,,,,,,,,,,,,,,,2025-07-19T14:26:05Z
Suspicious Scheduled Task,logic_bomb,2025-07-19T14:26:07Z,,,,,,,,,,,,,,,,2025-07-19T14:26:07Z
Suspicious Scheduled Task,logic_bomb,2025-07-19T14:26:09Z,,,,,,,,,,,,,,,,2025-07-19T14:26:09Z
Suspicious Scheduled Task,logic_bomb,2025-07-19T14:26:11Z,,,,,,,,,,,,,,,,2025-07-19T14:26:11Z
Suspicious Scheduled Task,logic_bomb,2025-07-19T14:26:13Z,,,,,,,,,,,,,,,,2025-07-19T14:26:13Z
Suspicious Scheduled Task,logic_bomb,2025-07-19T14:26:15Z,,,,,,,,,,,,,,,,2025-07-19T14:26:15Z
Suspicious Scheduled Task,logic_bomb,2025-07-19T14:26:17Z,,,,,,,,,,,,,,,,2025-07-19T14:26:17Z
Suspicious Scheduled Task,logic_bomb,2025-07-19T14:26:19Z,,,,,,,,,,,,,,,,2025-07-19T14:26:19Z
Suspicious Scheduled Task,logic_bomb,2025-07-19T14:26:22Z,,,,,,,,,,,,,,,,2025-07-19T14:26:22Z
Suspicious Scheduled Task,logic_bomb,2025-07-19T14:26:24Z,,,,,,,,,,,,,,,,2025-07-19T14:26:24Z
Suspicious Scheduled Task,logic_bomb,2025-07-19T14:26:26Z,,,,,,,,,,,,,,,,2025-07-19T14:26:26Z
Suspicious Scheduled Task,logic_bomb,2025-07-19T14:26:28Z,,,,,,,,,,,,,,,,2025-07-19T14:26:28Z
Suspicious Scheduled Task,logic_bomb,2025-07-19T14:26:30Z,,,,,,,,,,,,,,,,2025-07-19T14:26:30Z
Suspicious Scheduled Task,logic_bomb,2025-07-19T14:26:32Z,,,,,,,,,,,,,,,,2025-07-19T14:26:32Z
Suspicious Scheduled Task,logic_bomb,2025-07-19T14:26:34Z,,,,,,,,,,,,,,,,2025-07-19T14:26:34Z
